x, y, z
-800.00000000004, -449.999999999977, -299.999999999714
-800.000000000067, -449.999999999906, -249.999999999914
-800.00000000007, -449.999999999852, -199.999999999958
-800.000000000008, -450.000000000009, -150.000000000144
-800.000000000017, -450.000000000074, -100.000000000165
-800.000000000109, -399.999999999768, -399.999999999781
-800.000000000037, -399.99999999985, -349.999999999968
-800.000000000053, -399.999999999943, -299.999999999861
-799.999999999956, -400.000000000094, -250.000000000178
-800.000000000021, -400.00000000009, -200.000000000128
-800.000000000074, -399.999999999886, -150.000000000014
-800.000000000026, -399.999999999862, -99.999999999818
-799.999999999886, -350.0000000004, -449.999999999897
-799.999999999943, -350.000000000027, -400.000000000196
-799.999999999919, -350.000000000099, -349.999999999827
-799.999999999969, -350.000000000109, -300.000000000136
-799.999999999868, -350.000000000393, -250.000000000194
-799.999999999963, -350.000000000081, -200.0000000002
-799.999999999928, -350.000000000334, -150.000000000036
-800.000000000079, -349.999999999971, -100.000000000136
-800.000000000197, -299.999999999346, -499.999999999872
-799.999999999299, -300.00000000195, -450.000000000232
-800.000000001631, -299.999999995626, -399.999999999475
-799.999999999216, -300.000000002273, -350.000000000044
-800.000000000802, -299.999999997804, -300.000000000055
-799.999999999808, -300.000000000552, -250.000000000096
-800.00000000027, -299.999999999182, -200.000000000148
-800.000000000036, -300.000000000043, -150.000000000098
-800.0, -300.000000000007, -100.000000000071
-800.000000000337, -249.999999998704, -549.999999999971
-799.99999999733, -250.000000007795, -500.000000001144
-799.99999999954, -250.000000001288, -450.000000000063
-799.999999999938, -250.000000000206, -400.000000000047
-799.999999999221, -250.00000000232, -350.000000000404
-799.999999999898, -250.000000000137, -300.000000000036
-800.000000001529, -249.999999995257, -249.999999999791
-800.000000000596, -249.999999997916, -199.99999999993
-799.999999999569, -250.000000001453, -149.999999999841
-800.000000000149, -249.999999999565, -100.00000000013
-799.999999999503, -200.000000001332, -550.00000000042
-800.000000000279, -199.999999999374, -499.999999999825
-799.999999999889, -200.000000000355, -450.000000000261
-799.999999999655, -200.000000001025, -400.000000000114
-799.99999999974, -200.000000000794, -350.000000000354
-799.999999999653, -200.000000001206, -300.000000000177
-800.000000000544, -199.999999998025, -249.999999999888
-799.999999999411, -200.000000002261, -200.00000000027
-800.000000001291, -199.999999994193, -149.999999999765
-800.000000000138, -199.99999999925, -99.999999999936
-800.000000000033, -149.99999999979, -600.000000000063
-799.999999999896, -150.000000000085, -550.000000000244
-800.000000000255, -149.999999999277, -499.999999999806
-799.999999999798, -150.000000000531, -450.000000000107
-800.00000000023, -149.999999999268, -399.999999999974
-800.000000000198, -149.999999999435, -349.999999999843
-799.999999999754, -150.000000000843, -300.000000000103
-800.000000000105, -149.999999999607, -249.999999999927
-800.000000000282, -149.999999998635, -199.99999999981
-800.000000000788, -149.999999996135, -149.999999999841
-799.999999999802, -150.000000001033, -99.99999999976
-799.999999999808, -100.000000000582, -600.000000000311
-800.000000000023, -100.00000000008, -549.999999999825
-799.999999999979, -99.999999999926, -500.000000000026
-799.999999999936, -100.000000000189, -450.000000000236
-800.000000000073, -99.999999999947, -400.000000000043
-800.000000000029, -99.999999999792, -350.000000000104
-800.000000000177, -99.999999999316, -299.999999999911
-799.999999999993, -99.99999999992, -250.000000000079
